track_id,name,artist,album,release_year,release_date,release_date_precision,disc_number,track_number,total_tracks,explicit,popularity,external_id,duration_ms,preview_url,play_count
5z5uumG44dAXzd023HARGC,Dive,MAN WITH A MISSION,"MAN WITH A ""BEST"" MISSION (Deluxe Edition)",2012.0,2012-01-01,year,1,10,20,False,23,JPU901500096,264120,https://p.scdn.co/mp3-preview/2b9445abd68a0f10c95b7bc866989b71be491c56,4178941
6tEUPYdS5m5LmZnmARmOCT,Spending all my time,Perfume,Spending all my time,2012.0,2012-08-15,day,1,1,6,False,41,JPPO01213097,234600,https://p.scdn.co/mp3-preview/ea4c6eee7c20e5cfeb727af2e15c39c8c74ad33e,4134591
5kXc5uYaFYzUvloF36cDa3,いつだって僕らは,Ikimonogakari,NEWTRAL,2012.0,2012-02-29,day,1,3,12,False,0,JPES01103041,264000,https://p.scdn.co/mp3-preview/94ef6d83192dd91d0f6b3ad60a6356464b94453c,4115196
3cvGICExAQax7ert5oCM54,GIVE ME FIVE!,AKB48,GIVE ME FIVE! Type-A(通常盤),2012.0,2012-02-15,day,1,1,3,False,42,JPKI01210019,302626,https://p.scdn.co/mp3-preview/8c6067c7c7ca3020f6cbfb15b81c7b03cb096e8e,4089077
3Dnl6cI1RtBSijWay7eDAL,ギンガムチェック,AKB48,ギンガムチェック,2012.0,2012-08-29,day,1,1,1,False,37,JPKI01214358,323200,https://p.scdn.co/mp3-preview/f80894b2b2f50793bd49432c3451c20c6683acdd,3999473
2mFZkg7tQtoRHR9RBnKUsz,24karats TRIBE OF GOLD,EXILE TRIBE,24karats TRIBE OF GOLD,2012.0,2012-09-05,day,1,2,3,False,36,JPB601239502,378053,https://p.scdn.co/mp3-preview/251898d04347010be0203f447476e6ea579f3cb6,3945834
63SfqdBlmahv0zcLGL4feN,LOVE LOVE Summer,Ketsumeishi,KETSUNOPOLIS 8,2012.0,2012-12-12,day,1,2,13,False,41,JPB601227101,259213,https://p.scdn.co/mp3-preview/4ee3d26e798b1563bbe95fd3a9370ac5fb3beaed,3918821
3n7lc5V2p1RJUpZ53ovD03,あなたへ,EXILE,EXILE JAPAN / Solo,2012.0,2012-01-01,day,1,5,27,False,43,JPB601158301,291666,https://p.scdn.co/mp3-preview/10f054a9ec523f43424bf2788a4cb07cc4a0da1f,3864097
2YBMgG0YhiF99ILnIn5EKT,ナギイチ,NMB48,ナギイチ（劇場盤）,2012.0,2012-05-09,day,1,1,8,False,0,JPN001200114,247986,https://p.scdn.co/mp3-preview/69df536e6a88dc9809e2028f406cfa7b57502662,3641168
78SMnkwUzlAHbHzjJTpXfb,DON'T LOSE YOURSELF,MAN WITH A MISSION,WELCOME TO THE NEWWORLD,2012.0,2012-03-14,day,1,1,8,False,43,JPZ921013850,275706,https://p.scdn.co/mp3-preview/22fd43c65094f0547f2e429011950fdc0a01d2ca,3114201
6imrBTWMk87enK5iEsOmVL,白い恋人達,Shota Shimizu,MELODY,2012.0,2012-11-28,day,1,1,13,False,43,JPSR01203821,280160,https://p.scdn.co/mp3-preview/ebc813945ae6055d696e71616fe6e8c0b90b444c,3015021
0f9vLKuvh7wtHo4ROERUAX,Force,Superfly,Force,2012.0,2012-09-19,day,1,1,11,False,41,JPWP01270887,210533,https://p.scdn.co/mp3-preview/b383ee4e970887bd1f378dcf22235ebb65f5edef,3002258
4jnmxdLw1gld2Hr8EHiDxj,All right part2,ASIAN KUNG-FU GENERATION,ランドマーク,2012.0,2012-09-12,day,1,1,12,False,40,JPKS01201541,214733,https://p.scdn.co/mp3-preview/12ab6c5bfc95737d44df3b777014c6f7dede7c03,2789120
0IGmcBrpOkgSYZryLOT7n1,北風 - 君にとどきますように 2012 Remaster,Noriyuki Makihara,秋うた、冬うた。〜もう恋なんてしない,2012.0,2012-11-14,day,1,1,15,False,31,JPWP01271629,333840,https://p.scdn.co/mp3-preview/27254a9bbfa4a15b6a33e5a6ca93ac75adc06aca,2707309
6r0CPMWa40k0sP3PU1ZziB,歓びの明日に,SUPER BEAVER,歓びの明日に,2012.0,2012-05-02,day,1,1,2,False,28,JPZ921203502,318373,https://p.scdn.co/mp3-preview/cd64f760f1dfdd8a7844c873cef7f863988da6e5,2659354
7xQAz9lKgxHGsKTEwciBCI,firefly,BUMP OF CHICKEN,firefly,2012.0,2012-09-12,day,1,1,2,False,26,JPTF01212801,332386,https://p.scdn.co/mp3-preview/8525f2129b0cd8bce1908080ec1de6f5822fab64,2579215
3IWztt3qxGNnfwjZFe58rB,火まつり,Creep Hyp,死ぬまで一生愛されてると思ってたよ,2012.0,2012-04-18,day,1,9,11,False,42,JPVI01200340,132799,https://p.scdn.co/mp3-preview/6f18e55026cf0adeae48ee55b42acd264457af64,2563287
4mXULRmZhkekmGUxvtv2ck,君に逢いたかった,Naoto Inti Raymi,君に逢いたかった,2012.0,2012-02-08,day,1,1,5,False,16,JPPO01160426,281453,https://p.scdn.co/mp3-preview/afab578c5ec7aa6b6ec1eef726fb9a7567c7c35d,2544895
6FK4BHpe1kIaePBwpI3g4R,笑ってたいんだ,Ikimonogakari,NEWTRAL,2012.0,2012-02-29,day,1,2,12,False,0,JPES01101161,370040,https://p.scdn.co/mp3-preview/4fba9408e168a0ec8ea6eca5baf3b44ee8a4c88f,2500268
1LpdspxQUrQf4jIsNMe2r2,BRAVE IT OUT,GENERATIONS from EXILE TRIBE,BRAVE IT OUT,2012.0,2012-11-21,day,1,1,4,False,24,JPB601290525,193613,https://p.scdn.co/mp3-preview/9d99ee6f001ea9b4e0197a259f2cf4919536524f,2300208
4QtuMXrmq63kCMJXfzuxoe,グッドラック,BUMP OF CHICKEN,グッドラック,2012.0,2012-01-18,day,1,1,2,False,25,JPTF01113601,428546,https://p.scdn.co/mp3-preview/770f6a569e6b94c2344da682079aac9fd8daa79d,2241874
0b1eJt5F6yI2u0T0LF0Ly3,明日へ,Galileo Galilei,PORTAL,2012.0,2012-01-25,day,1,8,14,False,41,JPU901101284,318586,https://p.scdn.co/mp3-preview/08d580d025ef59d8d8c43055338a8ba320bee4a0,2213338
5YtcZCZzGeZea5cTbTMwrB,Scream Hard as You Can,"Fear, and Loathing in Las Vegas",All That We Have Now,2012.0,2012-08-08,day,1,2,11,False,37,JPVP01206202,236960,https://p.scdn.co/mp3-preview/24a8906623378858e5eddd05bc4e5d47c0f881f5,2191461
2MDrtB25qeOET6nlaeUtMr,瞳をとじて,BENI,COVERS (<English Ver.>),2012.0,2012-01-01,day,1,3,13,False,25,JPPO01200383,340186,https://p.scdn.co/mp3-preview/e326c40ef10c2c83cf7b712d87fb76052b70193c,2177819
1ET6aC9rGCmUf9onLS7Wze,with you,YUZU,with you,2012.0,2012-05-23,day,1,1,3,False,31,JPTF01207901,331173,https://p.scdn.co/mp3-preview/34cafac5ed262fcc69c56f82ffc00f17e887c2ab,2152261
2GIJcEKvpp2Ria2XR2jdg7,Message,Naoto Inti Raymi,風歌キャラバン,2012.0,2012-04-18,day,1,8,12,False,36,JPPO01160427,287440,https://p.scdn.co/mp3-preview/2aa0fa07e15a379654c7892acdf4962382e6c8c4,2111892
2IdpIA4JPlerzdzq258Yh3,明日へのマーチ,Keisuke Kuwata,I LOVE YOU -now & forever-,2012.0,2012-07-18,day,1,9,30,False,28,JPVI01113930,210253,https://p.scdn.co/mp3-preview/2630a2089cc29f7d06d318ce588520c9cd9b584d,2042728
2sCZPAARC8MU3wZZwnIW2N,かぞえうた,Mr.Children,[(an imitation) blood orange],2012.0,2012-11-28,day,1,7,11,False,34,JPTF01102701,282080,https://p.scdn.co/mp3-preview/54729e0e89f2987043dd5b9b2b3403e17b89cd14,2042631
4CbyCNy3eiNynTXvaTUgrx,愛しい人へ捧ぐ歌,Keisuke Kuwata,I LOVE YOU -now & forever-,2012.0,2012-07-18,day,1,15,30,False,40,JPVI01213470,244709,https://p.scdn.co/mp3-preview/8e39ec0df78930dae29e2746ecce25ff29b76dfb,1925834
3XI5r4smeQGQDUVG5Bs6sV,はじまりのとき,ayaka,The beginning,2012.0,2012-02-01,day,1,1,13,False,36,JPB601174201,251693,https://p.scdn.co/mp3-preview/326a2864191cf55e68bfa60bfaf137d0b24b734e,1904184
5lgdr1jxJj94NGsi35UvWm,ひとつ,Tsuyoshi Nagabuchi,ひとつ,2012.0,2012-01-01,day,1,1,3,False,17,JPPO01159785,326133,https://p.scdn.co/mp3-preview/c351dee562726c48c4e336832d0023490bef1115,1849203
2xPpe4ktO7qmPyXL1x1VFN,煙突,mitsume,eye,2012.0,2012-01-01,year,1,7,8,False,32,JPV501400082,292906,https://p.scdn.co/mp3-preview/86c43719d1d49e4d0b16a20abcad4ac29ad5e298,1835199
0W4djvX5yEM1ZAlJYAewjg,LET'S PARTY,J SOUL BROTHERS III,0〜ZERO〜,2012.0,2012-08-08,day,1,4,8,False,27,JPB601232804,261653,https://p.scdn.co/mp3-preview/f33b947a4e910490921698f4997c316f79954379,1676614
7rQ7u1GZaWAA5Us6xpgtVi,Lovers Again,BENI,COVERS 2,2012.0,2012-01-01,day,1,1,13,False,33,JPPO01221066,279893,https://p.scdn.co/mp3-preview/5bee893a27a77b31e0c97264539467cce3c9c648,1609496
